id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Lenny_Keebler87@hotmail.com;fearful aside;2024-06-03T20:17:12;29278;22729
2;Rubye;Jerde;Jabari39@gmail.com;psst right duh;2024-06-03T22:29:56;13380;15023
3;Laney;Medhurst;Lelah_Schmidt@gmail.com;provided cautiously;2024-06-04T11:51:57;20492;21868
4;Axel;Bernhard;Ana_Goodwin47@yahoo.com;why excepting slippers;2024-06-04T07:12:26;8642;16574
5;Aleen;Heathcote;Chauncey_Cole@gmail.com;shoo;2024-06-04T12:15:00;3222;5505
6;Jackson;Fay;Charley_Murphy40@hotmail.com;suppurate pride wherever;2024-06-04T11:37:22;12640;14602
7;Vinnie;West-Bechtelar;Jamil.Greenholt@yahoo.com;ouch engorge;2024-06-04T00:31:20;11650;10509
8;Mayra;Kihn;Nikolas.Hansen78@yahoo.com;who meanwhile;2024-06-04T12:28:35;20904;25191
9;Ernest;Hudson;Verla.Jenkins@yahoo.com;damp;2024-06-04T08:23:02;1703;14983
10;Cayla;Aufderhar;Madelyn_Bins42@hotmail.com;as amidst stop;2024-06-03T20:15:21;2600;14756
